epoch,recall,mAP_0.5,mAP_0.5_0.95
0,0.040801,0.00044708,0.00013793
1,0.33671,0.0080862,0.0022223
2,0.045286,0.030785,0.010481
3,0.10491,0.067619,0.025285
4,0.16786,0.10383,0.039469
5,0.20859,0.14369,0.057755
6,0.24101,0.17956,0.075137
7,0.27541,0.20498,0.086849
8,0.29203,0.2323,0.1022
9,0.30389,0.24673,0.1094
10,0.33788,0.28266,0.12819
11,0.34283,0.2887,0.13262
12,0.3608,0.30627,0.14324
13,0.37324,0.33815,0.16166
14,0.38347,0.33754,0.16312
15,0.39938,0.35592,0.17191
16,0.40619,0.36901,0.17826
17,0.41803,0.38705,0.18932
18,0.42724,0.40136,0.19738
19,0.43474,0.41254,0.2076
20,0.43741,0.4258,0.21245
21,0.44352,0.43365,0.21927
22,0.45679,0.44164,0.22298
23,0.45756,0.45612,0.23268
24,0.46529,0.4609,0.23764
25,0.48006,0.46758,0.24344
26,0.47796,0.48138,0.24868
27,0.4896,0.49117,0.25619
28,0.4891,0.49697,0.25706
29,0.49648,0.50169,0.2639
30,0.49805,0.51082,0.26967
31,0.50994,0.51938,0.27425
32,0.51962,0.52726,0.27986
33,0.5176,0.53162,0.28418
34,0.52514,0.54017,0.29072
35,0.52574,0.54191,0.29265
36,0.52967,0.54593,0.29781
37,0.53329,0.55509,0.3023
38,0.53398,0.55614,0.30459
39,0.53625,0.5615,0.30748
40,0.53771,0.5649,0.30946
41,0.53274,0.5672,0.31218
42,0.54076,0.57144,0.31496
43,0.54589,0.57502,0.31797
44,0.54801,0.5796,0.32085
45,0.55552,0.58304,0.32312
46,0.55756,0.58762,0.3261
47,0.55369,0.59016,0.32827
48,0.56133,0.59175,0.32874
49,0.55963,0.5942,0.33076
50,0.55714,0.59637,0.33303
51,0.561,0.59815,0.33407
52,0.56612,0.60127,0.33569
53,0.5678,0.60281,0.33721
54,0.568,0.60492,0.33871
55,0.56956,0.60595,0.33985
56,0.57035,0.60733,0.34068
57,0.57119,0.60923,0.34287
58,0.57033,0.61076,0.34369
59,0.57115,0.61337,0.34522
60,0.57601,0.61486,0.34658
61,0.57937,0.61672,0.34745
62,0.58053,0.61847,0.34829
63,0.58246,0.61951,0.34925
64,0.58508,0.62079,0.35009
65,0.58445,0.62168,0.35136
66,0.58666,0.62284,0.35212
67,0.58655,0.62365,0.35285
68,0.58798,0.62434,0.35367
69,0.58891,0.62522,0.35407
70,0.59052,0.62624,0.35496
71,0.58901,0.62737,0.35588
72,0.58996,0.62816,0.35655
73,0.59245,0.6288,0.35735
74,0.59304,0.62955,0.35763
75,0.59535,0.63039,0.35826
76,0.59656,0.63127,0.35922
77,0.5965,0.63163,0.35976
78,0.59867,0.63297,0.3606
79,0.599,0.63314,0.36106
80,0.59999,0.63392,0.36154
81,0.59909,0.63455,0.36218
82,0.60067,0.63508,0.36277
83,0.60149,0.63639,0.36362
84,0.60361,0.63729,0.36445
85,0.60376,0.63838,0.36551
86,0.60376,0.63836,0.36598
87,0.60332,0.63893,0.36674
88,0.60314,0.64027,0.3678
89,0.60568,0.64148,0.36819
90,0.60556,0.64221,0.36934
91,0.60725,0.64305,0.37002
92,0.60522,0.64381,0.37069
93,0.60493,0.64483,0.3718
94,0.60535,0.64561,0.37248
95,0.60541,0.64683,0.3732
96,0.60527,0.64764,0.37423
97,0.60425,0.64865,0.37479
98,0.60602,0.64931,0.37548
99,0.60776,0.65027,0.37635
100,0.60711,0.65103,0.37721
101,0.60773,0.65197,0.37789
102,0.60723,0.65294,0.37856
103,0.60839,0.65443,0.3793
104,0.60999,0.65457,0.38012
105,0.60966,0.65501,0.38065
106,0.61149,0.65626,0.3816
107,0.61087,0.65695,0.38248
108,0.61376,0.65838,0.38323
109,0.61546,0.65899,0.38387
110,0.61581,0.66001,0.38455
111,0.61532,0.66044,0.38526
112,0.61526,0.6613,0.38632
113,0.6147,0.66203,0.38699
114,0.61523,0.66293,0.38765
115,0.61585,0.66352,0.38802
116,0.61608,0.66431,0.38912
117,0.61622,0.66515,0.38965
118,0.6165,0.66566,0.39039
