               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09385,            0.044352,            0.073158,          8.5034e-05,            0.014477,          8.5743e-05,          2.1281e-05,            0.084479,            0.026712,             0.06204,            0.070231,           0.0033077,           0.0033077
                   1,            0.080813,            0.045805,            0.063463,           0.0022187,            0.096682,           0.0020288,          0.00060225,            0.078257,            0.049214,            0.058752,            0.040198,           0.0066082,           0.0066082
                   2,            0.070794,            0.046709,            0.060158,             0.75796,           0.0070808,           0.0026617,          0.00073712,            0.077005,             0.02689,            0.054397,            0.010132,           0.0098756,           0.0098756
                   3,            0.064621,            0.044693,            0.056364,              0.3194,            0.093914,            0.033519,            0.011188,            0.063028,            0.030728,            0.046949,           0.0098515,           0.0098515,           0.0098515
                   4,            0.061528,            0.043412,              0.0516,             0.26121,             0.13665,            0.068803,            0.023706,            0.062248,            0.027171,            0.043924,           0.0098515,           0.0098515,           0.0098515
                   5,            0.059437,            0.043207,            0.047492,             0.20458,             0.18195,            0.098138,            0.035873,            0.058802,            0.025785,            0.039513,            0.009802,            0.009802,            0.009802
                   6,            0.058104,            0.042488,            0.044892,             0.34989,             0.21153,             0.14951,            0.057738,            0.055393,            0.024949,            0.035837,           0.0097525,           0.0097525,           0.0097525
                   7,            0.056838,            0.041804,             0.04269,             0.28213,             0.22831,             0.15331,            0.058023,             0.05553,            0.026091,            0.035875,            0.009703,            0.009703,            0.009703
                   8,            0.055903,            0.041615,            0.040642,             0.28749,             0.26422,              0.1944,            0.077452,             0.05495,            0.024668,            0.031653,           0.0096535,           0.0096535,           0.0096535
                   9,            0.054828,            0.040654,            0.039232,             0.30107,             0.29121,             0.22014,            0.092658,            0.051956,            0.024984,            0.030079,            0.009604,            0.009604,            0.009604
                  10,            0.054324,            0.040969,            0.037814,             0.29365,             0.28791,             0.22037,            0.092659,            0.055041,            0.024406,            0.030949,           0.0095545,           0.0095545,           0.0095545
                  11,            0.053622,            0.041055,            0.036728,             0.33505,             0.31113,             0.24603,             0.10726,            0.051919,            0.024172,             0.02827,            0.009505,            0.009505,            0.009505
                  12,            0.052953,            0.040665,             0.03592,             0.34284,             0.31875,             0.26951,              0.1224,            0.050794,            0.023995,            0.026849,           0.0094555,           0.0094555,           0.0094555
