epoch,com_a_0.74_mAP_0.5,com_a_0.75_mAP_0.5_0.95,atl_mAP_0.5,alt_mAP_0.5:0.95,L1_mAP_0.5,L1_mAP_0.5:0.95,MSE_mAP_0.5,MSE_mAP_0.5:0.95,com_a0.5_mAP_0.5,com_0.5_mAP_0.5:0.95,com_a0.25_mAP_0.5,com_a0.25_mAP_0.5:0.95
0,7.28E-05,1.74E-05,0.00024294,5.46E-05,0.00061119,0.00016541,0.00044708,0.00013793,0.00041943,0.00011584,8.57E-05,2.13E-05
1,0.0029432,0.00084451,0.0041816,0.0011944,0.0069396,0.001836,0.0080862,0.0022223,0.0062658,0.0017702,0.0020288,0.00060225
2,0.006272,0.0019264,0.029236,0.0095266,0.024537,0.0077233,0.030785,0.010481,0.027838,0.0092617,0.0026617,0.00073712
3,0.021147,0.0071414,0.061351,0.021719,0.058055,0.020718,0.067619,0.025285,0.057484,0.020445,0.033519,0.011188
4,0.077051,0.028495,0.11019,0.042116,0.098677,0.036409,0.10383,0.039469,0.10705,0.041982,0.068803,0.023706
5,0.098727,0.03502,0.14317,0.057531,0.13305,0.05259,0.14369,0.057755,0.13858,0.056117,0.098138,0.035873
6,0.15265,0.058543,0.17094,0.069864,0.14687,0.058253,0.17956,0.075137,0.17022,0.072558,0.14951,0.057738
7,0.14866,0.056768,0.19803,0.086616,0.18132,0.075042,0.20498,0.086849,0.20993,0.091844,0.15331,0.058023
8,0.20012,0.081731,0.2249,0.098355,0.20656,0.086968,0.2323,0.1022,0.22723,0.098966,0.1944,0.077452
9,0.18482,0.074284,0.24587,0.10999,0.22108,0.095212,0.24673,0.1094,0.24929,0.11103,0.22014,0.092658
10,0.22234,0.096133,0.26312,0.11855,0.25488,0.11252,0.28266,0.12819,0.27884,0.12509,0.22037,0.092659
11,0.24984,0.10654,0.28224,0.12921,0.26541,0.11935,0.2887,0.13262,0.29362,0.13458,0.24603,0.10726
12,0.27201,0.12005,0.29856,0.13922,0.29048,0.13218,0.30627,0.14324,0.31096,0.14402,0.26951,0.1224
13,0.25543,0.11181,0.31976,0.14929,0.29511,0.13584,0.33815,0.16166,0.3267,0.15427,0.25813,0.11389
14,0.30964,0.13447,0.33044,0.15521,0.31985,0.15089,0.33754,0.16312,0.3343,0.15947,0.2835,0.12852
15,0.32991,0.15012,0.34272,0.16214,0.33618,0.16,0.35592,0.17191,0.35604,0.16853,0.31577,0.14471
16,0.32152,0.14766,0.35842,0.17066,0.34557,0.16296,0.36901,0.17826,0.36399,0.17665,0.33383,0.15576
17,0.35043,0.15761,0.37875,0.18575,0.3644,0.17605,0.38705,0.18932,0.38855,0.19041,0.34998,0.16474
18,0.34713,0.15936,0.39401,0.19386,0.37981,0.18554,0.40136,0.19738,0.40295,0.19988,0.36781,0.17183
19,0.36179,0.17187,0.40609,0.19949,0.39808,0.19564,0.41254,0.2076,0.42243,0.20904,0.37248,0.17661
20,0.38263,0.18225,0.42945,0.21515,0.40413,0.20129,0.4258,0.21245,0.42399,0.21249,0.35181,0.16343
21,0.40303,0.19093,0.43317,0.21918,0.42212,0.20985,0.43365,0.21927,0.4383,0.22159,0.38187,0.18563
22,0.39636,0.19094,0.44164,0.22264,0.43383,0.21733,0.44164,0.22298,0.44905,0.22678,0.40748,0.19745
23,0.39281,0.18888,0.45595,0.23242,0.43627,0.22162,0.45612,0.23268,0.45733,0.23214,0.39731,0.19094
24,0.41714,0.2026,0.46369,0.23708,0.45182,0.2309,0.4609,0.23764,0.46906,0.23819,0.42563,0.2089
25,0.43485,0.21387,0.46227,0.23583,0.4539,0.23254,0.46758,0.24344,0.4718,0.24186,0.4314,0.20952
26,0.44046,0.21175,0.48292,0.24901,0.46567,0.2412,0.48138,0.24868,0.48594,0.249,0.42304,0.20307
27,0.4246,0.20478,0.4888,0.25383,0.4777,0.24691,0.49117,0.25619,0.49092,0.25425,0.44009,0.21879
28,0.4173,0.20103,0.49475,0.25764,0.49022,0.255,0.49697,0.25706,0.5006,0.26251,0.40636,0.19763
29,0.46621,0.23547,0.50582,0.26395,0.48937,0.25632,0.50169,0.2639,0.50549,0.26551,0.4774,0.24103
30,0.44947,0.22436,0.51283,0.27012,0.49986,0.26286,0.51082,0.26967,0.51122,0.26829,0.45695,0.22959
31,0.47431,0.24205,0.51722,0.27219,0.50704,0.26662,0.51938,0.27425,0.51765,0.27073,0.48864,0.25247
32,0.50048,0.25614,0.51933,0.27531,0.51507,0.27257,0.52726,0.27986,0.52598,0.27892,0.49404,0.25481
33,0.49202,0.25253,0.52846,0.28337,0.52189,0.27699,0.53162,0.28418,0.53389,0.28449,0.5026,0.2606
