               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095564,            0.044203,            0.074195,          5.5055e-05,            0.016254,          7.2766e-05,          1.7409e-05,            0.084558,            0.026534,            0.063346,            0.070231,           0.0033077,           0.0033077
                   1,             0.08077,            0.045694,            0.063563,           0.0035917,             0.14039,           0.0029432,          0.00084451,            0.076125,            0.036579,             0.05784,            0.040198,           0.0066082,           0.0066082
                   2,            0.070703,            0.046661,            0.060282,           0.0065718,            0.047975,            0.006272,           0.0019264,            0.069344,            0.029205,            0.053559,            0.010132,           0.0098756,           0.0098756
                   3,            0.064587,            0.044704,            0.056351,             0.24027,            0.061101,            0.021147,           0.0071414,            0.066991,             0.02846,            0.052255,           0.0098515,           0.0098515,           0.0098515
                   4,            0.061488,            0.043516,            0.051728,             0.26725,             0.14646,            0.077051,            0.028495,            0.060331,            0.027285,            0.043376,           0.0098515,           0.0098515,           0.0098515
                   5,            0.059349,            0.043196,            0.047685,             0.19863,             0.17883,            0.098727,             0.03502,            0.059093,            0.026429,            0.039376,            0.009802,            0.009802,            0.009802
                   6,             0.05798,            0.042601,            0.045029,             0.27346,              0.2177,             0.15265,            0.058543,            0.057382,            0.025065,            0.036735,           0.0097525,           0.0097525,           0.0097525
                   7,            0.056782,             0.04186,            0.042773,             0.24682,             0.21851,             0.14866,            0.056768,             0.05737,            0.025338,            0.036214,            0.009703,            0.009703,            0.009703
                   8,             0.05587,            0.041659,             0.04075,             0.28316,             0.27726,             0.20012,            0.081731,            0.054198,            0.024985,            0.032278,           0.0096535,           0.0096535,           0.0096535
                   9,               0.055,            0.040598,            0.039241,              0.2795,             0.27297,             0.18482,            0.074284,            0.053413,            0.027021,            0.032876,            0.009604,            0.009604,            0.009604
                  10,             0.05438,            0.040965,            0.037805,              0.2873,             0.28755,             0.22234,            0.096133,            0.052944,            0.024541,            0.031887,           0.0095545,           0.0095545,           0.0095545
                  11,            0.053745,            0.041102,            0.036728,             0.31706,             0.33049,             0.24984,             0.10654,            0.051708,            0.024261,            0.028903,            0.009505,            0.009505,            0.009505
                  12,            0.053156,            0.040712,            0.036016,             0.36325,             0.31436,             0.27201,             0.12005,            0.051451,            0.023903,             0.02835,           0.0094555,           0.0094555,           0.0094555
                  13,            0.052677,            0.040734,            0.034405,             0.35396,             0.30685,             0.25543,             0.11181,            0.050353,            0.027089,            0.026681,            0.009406,            0.009406,            0.009406
                  14,            0.052383,            0.040113,            0.034012,             0.36752,             0.34835,             0.30964,             0.13447,            0.050043,            0.024327,            0.027247,           0.0093565,           0.0093565,           0.0093565
                  15,            0.051794,            0.039927,            0.032897,             0.41964,             0.36269,             0.32991,             0.15012,            0.048945,            0.023348,            0.023956,            0.009307,            0.009307,            0.009307
                  16,            0.051206,            0.039576,            0.032344,             0.39682,             0.36033,             0.32152,             0.14766,             0.04934,            0.023312,            0.025051,           0.0092575,           0.0092575,           0.0092575
                  17,            0.050769,            0.039626,            0.031617,              0.3946,             0.39826,             0.35043,             0.15761,            0.048052,            0.023557,            0.023126,            0.009208,            0.009208,            0.009208
                  18,            0.050634,            0.039677,            0.030958,              0.4122,             0.38573,             0.34713,             0.15936,            0.047851,            0.023542,            0.024469,           0.0091585,           0.0091585,           0.0091585
                  19,            0.050216,            0.039326,             0.03068,             0.41696,             0.38471,             0.36179,             0.17187,            0.047784,            0.023195,            0.022487,            0.009109,            0.009109,            0.009109
                  20,            0.049827,            0.039062,            0.029651,             0.44209,             0.41299,             0.38263,             0.18225,            0.047095,            0.023067,            0.021883,           0.0090595,           0.0090595,           0.0090595
                  21,            0.049707,            0.039035,            0.029194,             0.44878,             0.42366,             0.40303,             0.19093,            0.046612,            0.022816,            0.020826,             0.00901,             0.00901,             0.00901
                  22,            0.049484,            0.039218,            0.028535,             0.48148,             0.40445,             0.39636,             0.19094,            0.046259,            0.023021,            0.021842,           0.0089605,           0.0089605,           0.0089605
                  23,            0.049039,            0.038476,            0.028584,             0.46455,             0.41341,             0.39281,             0.18888,            0.047767,            0.022777,            0.021428,            0.008911,            0.008911,            0.008911
                  24,            0.049007,             0.03888,            0.027975,              0.4665,             0.43428,             0.41714,              0.2026,            0.045536,            0.023126,            0.020207,           0.0088615,           0.0088615,           0.0088615
                  25,            0.048779,            0.038579,            0.027919,             0.49528,             0.43408,             0.43485,             0.21387,            0.045052,            0.022546,            0.019878,            0.008812,            0.008812,            0.008812
                  26,            0.048321,            0.038451,            0.027276,             0.50699,             0.44661,             0.44046,             0.21175,            0.044824,            0.022361,            0.019335,           0.0087625,           0.0087625,           0.0087625
                  27,            0.048287,            0.038541,            0.026772,             0.48983,             0.43375,              0.4246,             0.20478,            0.045288,            0.022961,            0.019969,            0.008713,            0.008713,            0.008713
                  28,            0.048027,            0.038369,            0.026758,             0.45326,             0.43404,              0.4173,             0.20103,            0.044845,            0.023312,            0.018431,           0.0086635,           0.0086635,           0.0086635
                  29,            0.048019,            0.038432,             0.02599,             0.52653,             0.46308,             0.46621,             0.23547,            0.044665,            0.022469,             0.01936,            0.008614,            0.008614,            0.008614
                  30,            0.047473,            0.037989,            0.026004,             0.49522,             0.46337,             0.44947,             0.22436,            0.044112,            0.022356,            0.018708,           0.0085645,           0.0085645,           0.0085645
                  31,            0.047478,            0.037589,            0.025667,             0.52934,             0.47796,             0.47431,             0.24205,            0.043411,            0.022035,            0.017498,            0.008515,            0.008515,            0.008515
                  32,            0.047261,            0.037759,            0.025161,             0.55545,              0.4965,             0.50048,             0.25614,            0.043666,            0.022114,              0.0165,           0.0084655,           0.0084655,           0.0084655
                  33,            0.047162,            0.038216,            0.024912,             0.54266,             0.48141,             0.49202,             0.25253,             0.04359,            0.021985,            0.016858,            0.008416,            0.008416,            0.008416
                  34,            0.046993,            0.037857,            0.024562,             0.54388,             0.49211,             0.49964,              0.2591,            0.042514,             0.02229,            0.016631,           0.0083665,           0.0083665,           0.0083665
                  35,            0.046557,            0.037669,            0.024698,             0.55805,              0.4914,             0.51098,             0.26252,            0.042471,            0.021791,            0.015921,            0.008317,            0.008317,            0.008317
                  36,            0.046603,            0.037778,            0.024294,              0.5762,             0.49833,             0.52485,             0.27577,            0.042305,            0.021624,            0.015749,           0.0082675,           0.0082675,           0.0082675
                  37,            0.046446,            0.037883,            0.024042,             0.56014,              0.4913,             0.50578,             0.26441,            0.042681,            0.021867,            0.015962,            0.008218,            0.008218,            0.008218
                  38,            0.046372,            0.037573,            0.024106,             0.57196,             0.50276,             0.51235,             0.26894,            0.042429,            0.021628,            0.016753,           0.0081685,           0.0081685,           0.0081685
                  39,            0.046027,            0.037433,            0.023556,             0.58831,              0.5207,              0.5402,             0.28378,            0.041667,            0.021518,            0.015606,            0.008119,            0.008119,            0.008119
                  40,            0.045854,            0.037385,            0.023448,             0.58308,             0.51746,             0.54163,              0.2867,             0.04155,            0.021406,            0.014365,           0.0080695,           0.0080695,           0.0080695
                  41,            0.045804,            0.037355,            0.022897,             0.59574,             0.52563,             0.55038,             0.29481,            0.041542,             0.02138,            0.015079,             0.00802,             0.00802,             0.00802
                  42,            0.045609,            0.037256,             0.02344,             0.58741,             0.51701,             0.53904,             0.28743,            0.041607,            0.021452,            0.014785,           0.0079705,           0.0079705,           0.0079705
                  43,            0.045653,            0.036927,            0.022839,             0.57707,             0.52529,             0.53787,             0.28331,             0.04139,            0.021939,            0.014607,            0.007921,            0.007921,            0.007921
                  44,            0.045562,             0.03716,            0.022911,             0.57662,             0.53977,             0.55246,              0.2955,            0.041069,            0.021484,             0.01496,           0.0078715,           0.0078715,           0.0078715
                  45,            0.045293,            0.037082,            0.022508,             0.60054,             0.54341,             0.56541,             0.30468,            0.040821,            0.021222,            0.014709,            0.007822,            0.007822,            0.007822
                  46,             0.04516,            0.036853,            0.022472,             0.59498,             0.54716,             0.55688,             0.29806,            0.041276,            0.021367,            0.014185,           0.0077725,           0.0077725,           0.0077725
                  47,            0.045246,            0.037139,            0.022507,             0.59689,              0.5503,             0.56433,             0.30587,             0.04089,            0.021077,            0.013953,            0.007723,            0.007723,            0.007723
                  48,              0.0449,            0.037069,             0.02234,              0.6165,             0.54899,             0.58081,             0.31612,            0.040339,            0.021131,            0.013537,           0.0076735,           0.0076735,           0.0076735
                  49,            0.044911,            0.037227,             0.02173,             0.59194,             0.54753,             0.55902,             0.30376,            0.040272,            0.021067,            0.013615,            0.007624,            0.007624,            0.007624
                  50,            0.044701,            0.036932,            0.021767,             0.60599,             0.55055,              0.5722,             0.31179,            0.040479,            0.021089,            0.014183,           0.0075745,           0.0075745,           0.0075745
                  51,            0.044427,            0.036424,            0.021522,             0.62667,             0.56026,             0.58354,             0.32223,            0.040378,             0.02098,            0.013442,            0.007525,            0.007525,            0.007525
                  52,            0.044523,            0.036352,            0.021534,             0.60217,             0.55803,             0.57532,             0.31607,            0.040041,            0.021119,            0.013054,           0.0074755,           0.0074755,           0.0074755
                  53,             0.04448,            0.036846,            0.021171,             0.62579,              0.5572,             0.59111,             0.32859,            0.039994,             0.02092,            0.012911,            0.007426,            0.007426,            0.007426
                  54,            0.044525,             0.03659,            0.021283,             0.62471,             0.56766,             0.59613,             0.33226,            0.040014,            0.020801,            0.013186,           0.0073765,           0.0073765,           0.0073765
                  55,            0.044205,            0.036466,            0.021027,             0.61627,             0.56796,             0.59393,             0.32687,            0.039822,             0.02115,            0.013243,            0.007327,            0.007327,            0.007327
                  56,            0.044326,            0.036475,            0.021091,             0.62511,             0.56984,             0.60183,             0.33467,            0.039794,            0.020903,             0.01344,           0.0072775,           0.0072775,           0.0072775
                  57,             0.04437,            0.036675,            0.020321,             0.63562,             0.56519,             0.60424,             0.33716,            0.039772,            0.020798,            0.013155,            0.007228,            0.007228,            0.007228
                  58,            0.043885,            0.036682,            0.020661,             0.63843,             0.57324,             0.60909,             0.33975,            0.039542,            0.020781,            0.012418,           0.0071785,           0.0071785,           0.0071785
                  59,            0.044044,            0.036281,            0.020366,             0.63235,             0.58125,             0.61504,             0.34383,            0.039208,            0.020719,            0.012028,            0.007129,            0.007129,            0.007129
                  60,            0.043777,             0.03612,            0.020132,             0.61955,             0.57521,             0.60566,             0.33947,            0.039251,            0.020684,            0.012344,           0.0070795,           0.0070795,           0.0070795
                  61,            0.043833,            0.036129,            0.020399,             0.63613,             0.58387,             0.61682,             0.34698,            0.039281,            0.020652,            0.012744,             0.00703,             0.00703,             0.00703
                  62,            0.043584,            0.035589,            0.019949,             0.64744,             0.58727,              0.6209,             0.35032,            0.039152,            0.020582,            0.012566,           0.0069805,           0.0069805,           0.0069805
